frameNumber,navy blue star,violet star,brown star,pink star,sky blue star,orange star,yellow star,yellow heart,orange circle,violet circle,brown circle,violet heart,green star,green heart,green circle,pink circle
,Lying down,nan,nan,Standing,nan,Eating,nan,Eating,nan,nan,nan,nan,Eating,Standing,Eating,nan
,Lying down,nan,nan,Standing,nan,Eating,nan,Eating,nan,nan,nan,nan,Eating,Standing,Eating,nan
,Lying down,nan,nan,Standing,nan,Eating,nan,nan,nan,nan,nan,nan,Eating,Standing,Eating,nan
,Lying down,nan,nan,Standing,nan,Eating,nan,nan,nan,nan,nan,nan,Eating,Standing,Eating,nan
,Lying down,nan,nan,Eating,nan,Eating,nan,Eating,nan,nan,nan,nan,Eating,Standing,Eating,nan
,Lying down,nan,nan,Eating,nan,Eating,nan,Eating,nan,nan,nan,nan,Eating,Standing,Eating,nan
,Lying down,nan,nan,Eating,nan,Eating,nan,nan,nan,nan,nan,nan,Eating,Standing,Eating,nan
,Lying down,nan,nan,Standing,nan,Eating,nan,nan,nan,nan,nan,nan,Eating,Standing,Eating,nan
,Lying down,nan,nan,Standing,nan,Eating,nan,nan,nan,nan,nan,nan,Eating,Standing,Eating,nan
,Lying down,nan,nan,Eating,nan,Eating,nan,nan,nan,nan,nan,nan,Eating,Standing,Eating,nan
