frameNumber,navy blue star,violet star,brown star,pink star,sky blue star,orange star,yellow star,yellow heart,orange circle,violet circle,brown circle,violet heart,green star,green heart,green circle,pink circle
,nan,nan,nan,nan,nan,Lying down,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan
,nan,nan,nan,Standing,nan,Lying down,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan
,nan,nan,nan,Standing,nan,Lying down,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan
,nan,nan,Lying down,Standing,nan,nan,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan
,nan,nan,Lying down,Standing,nan,nan,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan
,nan,nan,Lying down,Standing,nan,nan,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan
,nan,nan,nan,Standing,nan,Lying down,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan
,nan,nan,Lying down,Standing,nan,nan,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan
,nan,nan,Lying down,Standing,nan,nan,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan
,nan,nan,Lying down,Standing,nan,nan,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan
