Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition,Camera Field
2024-05-11,00:00,Cow_1,9,0,6,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_2,5,7,3,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_3,15,6,0,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_4,10,0,9,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_5,0,9,7,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_6,7,10,0,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_7,11,0,5,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_8,9,4,2,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_9,14,0,8,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_10,13,6,0,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_11,7,6,2,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_12,2,9,4,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_13,0,10,6,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_14,7,5,3,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_15,6,3,6,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_16,6,2,7,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_17,10,7,0,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_18,3,8,4,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_19,12,0,5,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_20,10,0,8,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_21,0,8,8,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_22,7,4,4,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_23,0,7,8,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_24,6,3,6,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_25,3,8,4,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_26,2,7,6,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_27,14,0,7,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_28,0,10,5,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_29,8,2,5,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_30,6,5,4,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_31,8,0,7,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_32,15,10,0,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_33,5,4,6,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_34,3,9,3,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_35,6,5,4,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_36,3,7,5,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_37,6,5,4,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_38,2,8,5,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_39,12,5,0,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_40,5,3,7,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_41,6,6,3,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_42,4,3,8,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_43,11,0,5,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_44,13,7,0,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_45,8,7,0,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_46,6,5,4,0,34.6,Clear,Field B
2024-05-11,00:00,Cow_47,9,12,0,0,34.6,Clear,Field C
2024-05-11,00:00,Cow_48,8,0,7,0,34.6,Clear,Field A
2024-05-11,00:00,Cow_49,14,7,0,0,34.6,Clear,Field A
2024-05-11,00:15,Cow_1,7,8,0,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_2,2,5,8,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_3,0,0,0,15,34.9,Clear,Field A
2024-05-11,00:15,Cow_4,3,7,5,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_5,12,6,0,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_6,6,4,5,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_7,7,0,8,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_8,6,9,0,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_9,9,0,7,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_10,8,5,2,0,34.9,Clear,Field A
2024-05-11,00:15,Cow_11,0,0,0,15,34.9,Clear,Field B
2024-05-11,00:15,Cow_12,11,0,7,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_13,6,1,8,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_14,6,3,6,0,34.9,Clear,Field A
2024-05-11,00:15,Cow_15,7,4,4,0,34.9,Clear,Field A
2024-05-11,00:15,Cow_16,7,5,3,0,34.9,Clear,Field A
2024-05-11,00:15,Cow_17,12,0,7,0,34.9,Clear,Field A
2024-05-11,00:15,Cow_18,9,1,5,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_19,0,0,0,15,34.9,Clear,Field A
2024-05-11,00:15,Cow_20,0,0,0,15,34.9,Clear,Field C
2024-05-11,00:15,Cow_21,5,3,7,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_22,13,7,0,0,34.9,Clear,Field A
2024-05-11,00:15,Cow_23,3,7,5,0,34.9,Clear,Field A
2024-05-11,00:15,Cow_24,0,0,0,15,34.9,Clear,Field A
2024-05-11,00:15,Cow_25,2,3,10,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_26,8,9,0,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_27,0,9,7,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_28,2,4,9,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_29,6,6,3,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_30,12,6,0,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_31,3,6,6,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_32,7,2,6,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_33,14,8,0,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_34,0,9,7,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_35,0,0,0,15,34.9,Clear,Field C
2024-05-11,00:15,Cow_36,11,4,0,0,34.9,Clear,Field A
2024-05-11,00:15,Cow_37,13,0,8,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_38,13,0,6,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_39,6,3,6,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_40,5,8,2,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_41,15,3,0,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_42,5,11,0,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_43,7,7,1,0,34.9,Clear,Field B
2024-05-11,00:15,Cow_44,9,3,3,0,34.9,Clear,Field A
2024-05-11,00:15,Cow_45,2,9,4,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_46,10,10,0,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_47,14,10,0,0,34.9,Clear,Field A
2024-05-11,00:15,Cow_48,14,8,0,0,34.9,Clear,Field C
2024-05-11,00:15,Cow_49,8,4,3,0,34.9,Clear,Field B
2024-05-11,00:30,Cow_1,6,6,3,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_2,10,9,0,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_3,11,11,0,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_4,0,0,0,15,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_5,5,5,5,0,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_6,4,5,6,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_7,9,3,3,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_8,7,9,0,0,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_9,4,6,5,0,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_10,13,8,0,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_11,5,6,4,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_12,0,0,0,15,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_13,1,8,6,0,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_14,3,4,8,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_15,13,7,0,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_16,14,0,6,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_17,0,7,8,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_18,0,10,7,0,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_19,12,3,0,0,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_20,8,10,0,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_21,6,2,7,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_22,7,2,6,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_23,2,5,8,0,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_24,8,9,0,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_25,14,12,0,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_26,4,3,8,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_27,1,7,7,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_28,14,8,0,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_29,2,10,3,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_30,8,6,1,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_31,11,4,0,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_32,0,0,0,15,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_33,0,7,8,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_34,10,0,6,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_35,12,0,8,0,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_36,0,10,5,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_37,5,7,3,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_38,0,0,0,15,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_39,0,0,0,15,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_40,0,0,0,15,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_41,0,9,9,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_42,5,8,2,0,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_43,8,6,1,0,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_44,9,7,0,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_45,0,7,8,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_46,12,9,0,0,25.3,Cloudy,Field A
2024-05-11,00:30,Cow_47,8,0,8,0,25.3,Cloudy,Field C
2024-05-11,00:30,Cow_48,1,9,5,0,25.3,Cloudy,Field B
2024-05-11,00:30,Cow_49,8,2,5,0,25.3,Cloudy,Field B
2024-05-11,00:45,Cow_1,0,0,0,15,33.1,Rainy,Field C
2024-05-11,00:45,Cow_2,2,8,5,0,33.1,Rainy,Field C
2024-05-11,00:45,Cow_3,0,6,10,0,33.1,Rainy,Field A
2024-05-11,00:45,Cow_4,13,12,0,0,33.1,Rainy,Field A
2024-05-11,00:45,Cow_5,9,2,4,0,33.1,Rainy,Field A
2024-05-11,00:45,Cow_6,12,0,5,0,33.1,Rainy,Field A
2024-05-11,00:45,Cow_7,8,7,0,0,33.1,Rainy,Field B
2024-05-11,00:45,Cow_8,5,12,0,0,33.1,Rainy,Field C
2024-05-11,00:45,Cow_9,4,3,8,0,33.1,Rainy,Field A
2024-05-11,00:45,Cow_10,10,2,3,0,33.1,Rainy,Field B
