Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition,Camera Field
2023-04-20,00:00,Cow_1,6,5,4,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_2,10,0,8,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_3,7,4,4,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_4,8,3,4,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_5,8,0,8,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_6,2,5,8,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_7,7,2,6,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_8,0,0,0,15,23.0,Clear,Field A
2023-04-20,00:00,Cow_9,9,10,0,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_10,0,0,0,15,23.0,Clear,Field A
2023-04-20,00:00,Cow_11,0,12,9,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_12,6,7,2,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_13,7,3,5,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_14,9,8,0,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_15,10,2,3,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_16,6,5,4,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_17,6,10,0,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_18,6,3,6,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_19,2,6,7,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_20,3,6,6,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_21,11,3,1,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_22,9,3,3,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_23,7,4,4,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_24,12,0,8,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_25,5,5,5,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_26,0,10,6,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_27,6,3,6,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_28,8,0,7,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_29,11,0,4,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_30,9,4,2,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_31,11,10,0,0,23.0,Clear,Field B
2023-04-20,00:00,Cow_32,13,8,0,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_33,0,6,10,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_34,12,0,8,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_35,8,0,8,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_36,7,4,4,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_37,12,0,8,0,23.0,Clear,Field C
2023-04-20,00:00,Cow_38,12,0,8,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_39,6,6,3,0,23.0,Clear,Field A
2023-04-20,00:00,Cow_40,14,4,0,0,23.0,Clear,Field A
