Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition,Camera Field
2022-03-17,00:00,Cow_1,1,8,6,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_2,10,10,0,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_3,8,0,10,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_4,5,4,6,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_5,8,3,4,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_6,9,0,8,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_7,2,7,6,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_8,0,9,8,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_9,6,4,5,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_10,11,6,0,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_11,10,4,1,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_12,6,7,2,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_13,0,8,8,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_14,12,0,4,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_15,14,0,7,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_16,7,5,3,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_17,0,7,9,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_18,6,4,5,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_19,14,0,7,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_20,13,3,0,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_21,3,7,5,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_22,7,7,1,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_23,7,9,0,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_24,11,9,0,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_25,7,5,3,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_26,7,12,0,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_27,4,5,6,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_28,10,3,2,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_29,0,8,7,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_30,7,5,3,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_31,12,4,0,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_32,9,3,3,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_33,12,0,3,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_34,13,0,8,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_35,5,10,0,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_36,8,1,6,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_37,12,0,7,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_38,7,4,4,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_39,12,0,5,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_40,0,9,6,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_41,1,6,8,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_42,12,3,0,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_43,8,3,4,0,23.8,Cloudy,Field B
2022-03-17,00:00,Cow_44,9,3,3,0,23.8,Cloudy,Field A
2022-03-17,00:00,Cow_45,0,11,6,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_46,5,3,7,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_47,9,6,0,0,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_48,0,0,0,15,23.8,Cloudy,Field C
2022-03-17,00:00,Cow_49,13,7,0,0,23.8,Cloudy,Field C
2022-03-17,00:15,Cow_1,8,4,3,0,33.4,Cloudy,Field C
2022-03-17,00:15,Cow_2,14,4,0,0,33.4,Cloudy,Field B
2022-03-17,00:15,Cow_3,13,4,0,0,33.4,Cloudy,Field B
2022-03-17,00:15,Cow_4,1,8,6,0,33.4,Cloudy,Field B
2022-03-17,00:15,Cow_5,5,6,4,0,33.4,Cloudy,Field B
2022-03-17,00:15,Cow_6,8,3,4,0,33.4,Cloudy,Field A
