Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition,Camera Field
2024-06-24,00:00,Cow_1,0,8,8,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_2,5,12,0,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_3,6,6,3,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_4,6,6,3,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_5,6,4,5,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_6,8,0,8,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_7,6,6,3,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_8,11,8,0,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_9,13,0,2,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_10,7,0,9,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_11,0,0,0,15,34.4,Clear,Field B
2024-06-24,00:00,Cow_12,1,7,7,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_13,6,7,2,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_14,5,3,7,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_15,5,7,3,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_16,9,7,0,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_17,0,8,7,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_18,5,7,3,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_19,7,4,4,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_20,4,3,8,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_21,5,5,5,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_22,12,8,0,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_23,8,7,0,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_24,9,0,7,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_25,2,5,8,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_26,0,0,0,15,34.4,Clear,Field C
2024-06-24,00:00,Cow_27,5,8,2,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_28,7,10,0,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_29,9,11,0,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_30,6,10,0,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_31,5,10,0,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_32,5,5,5,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_33,5,3,7,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_34,0,0,0,15,34.4,Clear,Field B
2024-06-24,00:00,Cow_35,11,4,0,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_36,11,7,0,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_37,5,8,2,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_38,14,0,7,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_39,12,0,6,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_40,6,6,3,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_41,9,3,3,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_42,12,0,5,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_43,7,2,6,0,34.4,Clear,Field C
2024-06-24,00:00,Cow_44,4,6,5,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_45,0,0,0,15,34.4,Clear,Field A
2024-06-24,00:00,Cow_46,6,3,6,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_47,6,0,10,0,34.4,Clear,Field B
2024-06-24,00:00,Cow_48,8,4,3,0,34.4,Clear,Field A
2024-06-24,00:00,Cow_49,0,10,6,0,34.4,Clear,Field C
2024-06-24,00:15,Cow_1,7,3,5,0,36.2,Rainy,Field C
2024-06-24,00:15,Cow_2,0,0,0,15,36.2,Rainy,Field C
2024-06-24,00:15,Cow_3,0,7,8,0,36.2,Rainy,Field A
2024-06-24,00:15,Cow_4,10,1,4,0,36.2,Rainy,Field B
2024-06-24,00:15,Cow_5,0,0,0,15,36.2,Rainy,Field C
2024-06-24,00:15,Cow_6,6,4,5,0,36.2,Rainy,Field A
2024-06-24,00:15,Cow_7,11,0,7,0,36.2,Rainy,Field A
2024-06-24,00:15,Cow_8,9,10,0,0,36.2,Rainy,Field A
2024-06-24,00:15,Cow_9,12,0,5,0,36.2,Rainy,Field A
2024-06-24,00:15,Cow_10,1,7,7,0,36.2,Rainy,Field A
2024-06-24,00:15,Cow_11,5,4,6,0,36.2,Rainy,Field B
2024-06-24,00:15,Cow_12,5,3,7,0,36.2,Rainy,Field B
2024-06-24,00:15,Cow_13,3,8,4,0,36.2,Rainy,Field B
2024-06-24,00:15,Cow_14,7,3,5,0,36.2,Rainy,Field A
