Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition,Camera Field
2023-07-03,00:00,Cow_1,9,2,4,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_2,6,5,4,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_3,0,10,10,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_4,5,7,3,0,31.2,Clear,Field C
2023-07-03,00:00,Cow_5,0,7,8,0,31.2,Clear,Field C
2023-07-03,00:00,Cow_6,0,10,8,0,31.2,Clear,Field C
2023-07-03,00:00,Cow_7,7,9,0,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_8,12,8,0,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_9,12,0,8,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_10,7,0,8,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_11,5,3,7,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_12,3,8,4,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_13,0,8,10,0,31.2,Clear,Field C
2023-07-03,00:00,Cow_14,10,0,8,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_15,2,6,7,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_16,13,4,0,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_17,14,7,0,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_18,5,8,2,0,31.2,Clear,Field C
2023-07-03,00:00,Cow_19,14,0,3,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_20,5,3,7,0,31.2,Clear,Field C
2023-07-03,00:00,Cow_21,9,10,0,0,31.2,Clear,Field C
2023-07-03,00:00,Cow_22,6,1,8,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_23,1,8,6,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_24,5,3,7,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_25,12,5,0,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_26,0,0,0,15,31.2,Clear,Field A
2023-07-03,00:00,Cow_27,13,0,8,0,31.2,Clear,Field C
2023-07-03,00:00,Cow_28,2,3,10,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_29,0,9,8,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_30,8,4,3,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_31,11,0,6,0,31.2,Clear,Field C
2023-07-03,00:00,Cow_32,13,8,0,0,31.2,Clear,Field B
2023-07-03,00:00,Cow_33,11,0,4,0,31.2,Clear,Field C
2023-07-03,00:00,Cow_34,3,4,8,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_35,9,3,3,0,31.2,Clear,Field A
2023-07-03,00:00,Cow_36,6,6,3,0,31.2,Clear,Field A
